Koefisien Variasi Harga Tingkat Produsen Tahun 2022-2024,,,,,
,,,,,
Kode Wilayah,Provinsi,Komoditas,Tahun,Bulan,Koefisien Variasi
12,Sumatera Utara,GKG Tingkat Penggilingan,2022,Januari,"7,59%"
11,Aceh,GKG Tingkat Penggilingan,2022,Februari,"3,92%"
51,Bali,GKG Tingkat Penggilingan,2022,Februari,"7,58%"
36,Banten,GKG Tingkat Penggilingan,2022,Februari,"5,48%"
17,Bengkulu,GKG Tingkat Penggilingan,2022,Februari,
34,D.I Yogyakarta,GKG Tingkat Penggilingan,2022,Februari,"3,06%"
75,Gorontalo,GKG Tingkat Penggilingan,2022,Februari,
15,Jambi,GKG Tingkat Penggilingan,2022,Februari,"4,90%"
32,Jawa Barat,GKG Tingkat Penggilingan,2022,Februari,"7,87%"
33,Jawa Tengah,GKG Tingkat Penggilingan,2022,Februari,"5,05%"
35,Jawa Timur,GKG Tingkat Penggilingan,2022,Februari,"4,91%"
61,Kalimantan Barat,GKG Tingkat Penggilingan,2022,Februari,"5,45%"
63,Kalimantan Selatan,GKG Tingkat Penggilingan,2022,Februari,"11,63%"
62,Kalimantan Tengah,GKG Tingkat Penggilingan,2022,Februari,"9,33%"
64,Kalimantan Timur,GKG Tingkat Penggilingan,2022,Februari,
18,Lampung,GKG Tingkat Penggilingan,2022,Februari,"5,96%"
52,Nusa Tenggara Barat,GKG Tingkat Penggilingan,2022,Februari,"5,99%"
53,Nusa Tenggara Timur,GKG Tingkat Penggilingan,2022,Februari,"0,48%"
14,Riau,GKG Tingkat Penggilingan,2022,Februari,
76,Sulawesi Barat,GKG Tingkat Penggilingan,2022,Februari,
73,Sulawesi Selatan,GKG Tingkat Penggilingan,2022,Februari,"8,63%"
72,Sulawesi Tengah,GKG Tingkat Penggilingan,2022,Februari,
74,Sulawesi Tenggara,GKG Tingkat Penggilingan,2022,Februari,"3,97%"
71,Sulawesi Utara,GKG Tingkat Penggilingan,2022,Februari,
13,Sumatera Barat,GKG Tingkat Penggilingan,2022,Februari,"8,95%"
16,Sumatera Selatan,GKG Tingkat Penggilingan,2022,Februari,"6,74%"
12,Sumatera Utara,GKG Tingkat Penggilingan,2022,Februari,"6,84%"
11,Aceh,GKG Tingkat Penggilingan,2022,Maret,"4,98%"
51,Bali,GKG Tingkat Penggilingan,2022,Maret,"5,02%"
36,Banten,GKG Tingkat Penggilingan,2022,Maret,"3,66%"
17,Bengkulu,GKG Tingkat Penggilingan,2022,Maret,
34,D.I Yogyakarta,GKG Tingkat Penggilingan,2022,Maret,"3,19%"
75,Gorontalo,GKG Tingkat Penggilingan,2022,Maret,
15,Jambi,GKG Tingkat Penggilingan,2022,Maret,"3,16%"
32,Jawa Barat,GKG Tingkat Penggilingan,2022,Maret,"6,19%"
33,Jawa Tengah,GKG Tingkat Penggilingan,2022,Maret,"5,49%"
35,Jawa Timur,GKG Tingkat Penggilingan,2022,Maret,"5,48%"
61,Kalimantan Barat,GKG Tingkat Penggilingan,2022,Maret,"6,22%"
63,Kalimantan Selatan,GKG Tingkat Penggilingan,2022,Maret,"11,56%"
62,Kalimantan Tengah,GKG Tingkat Penggilingan,2022,Maret,"12,53%"
64,Kalimantan Timur,GKG Tingkat Penggilingan,2022,Maret,
18,Lampung,GKG Tingkat Penggilingan,2022,Maret,"5,03%"
52,Nusa Tenggara Barat,GKG Tingkat Penggilingan,2022,Maret,"6,89%"
